Timestamp,Load_kW,ESS_Supply_kW,HFS_Supply_kW,Grid_Supply_kW,Grid_Price_$_per_kWh,ESS_SOC_%,HFS_SOF_%,Grid_Energy_kWh,Grid_Cost_$,Status
2025-03-15 14:00:00,24.202387845618276,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-15 14:00:00] Normal: RES covers 24.20 kW + 42.12 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 14:30:00,22.871926968925827,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-15 14:30:00] Normal: RES covers 22.87 kW + 41.44 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 15:00:00,23.086139967669947,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-15 15:00:00] Normal: RES covers 23.09 kW + 24.64 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 15:30:00,20.59608612936535,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-15 15:30:00] Normal: RES covers 20.60 kW + 26.64 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 16:00:00,21.941025997817654,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-15 16:00:00] Normal: RES covers 21.94 kW + 21.57 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 16:30:00,21.839338236406377,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-15 16:30:00] Normal: RES covers 21.84 kW + 18.70 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 17:00:00,22.65029292191335,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-15 17:00:00] Normal: RES covers 22.65 kW + 6.69 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 17:30:00,23.083383275913995,0,0,0.42166972471761355,0.3,100.0,50.0,0.21083486235880677,0.06325045870764202,"[2025-03-15 17:30:00] Normal: RES covers 22.66 kW + 0.00 kW charging ESS, Grid 0.42 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 18:00:00,21.279267237078216,0,0,9.526921160330017,0.3,100.0,50.0,4.763460580165009,1.4290381740495026,"[2025-03-15 18:00:00] Normal: RES covers 11.75 kW + 0.00 kW charging ESS, Grid 9.53 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 18:30:00,22.356666603547524,0,0,6.125973926421718,0.3,100.0,50.0,3.062986963210859,0.9188960889632577,"[2025-03-15 18:30:00] Normal: RES covers 16.23 kW + 0.00 kW charging ESS, Grid 6.13 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 19:00:00,21.645481722859248,0,0,11.381777352164697,0.3,100.0,50.0,5.6908886760823485,1.7072666028247045,"[2025-03-15 19:00:00] Normal: RES covers 10.26 kW + 0.00 kW charging ESS, Grid 11.38 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 19:30:00,21.94878577242709,0,0,5.210268351718462,0.3,100.0,50.0,2.605134175859231,0.7815402527577692,"[2025-03-15 19:30:00] Normal: RES covers 16.74 kW + 0.00 kW charging ESS, Grid 5.21 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 20:00:00,15.798635826356822,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 20:00:00] Normal: RES covers 15.80 kW + 0.25 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 20:30:00,15.873283086744557,0,0,4.583121577013282,0.2,100.0,50.0,2.291560788506641,0.4583121577013282,"[2025-03-15 20:30:00] Normal: RES covers 11.29 kW + 0.00 kW charging ESS, Grid 4.58 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 21:00:00,16.104176499662326,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-15 21:00:00] Normal: RES covers 16.10 kW + 3.42 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 21:30:00,15.937465928523357,0,0,0.573175258162518,0.2,100.0,50.0,0.286587629081259,0.0573175258162518,"[2025-03-15 21:30:00] Normal: RES covers 15.36 kW + 0.00 kW charging ESS, Grid 0.57 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 22:00:00,14.527806638640845,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-15 22:00:00] Normal: RES covers 14.53 kW + 1.05 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 22:30:00,15.903046724769581,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-15 22:30:00] Normal: RES covers 15.90 kW + 9.52 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 23:00:00,14.856025060200889,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-15 23:00:00] Normal: RES covers 14.86 kW + 0.63 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-15 23:30:00,14.627475153409808,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-15 23:30:00] Normal: RES covers 14.63 kW + 2.16 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 00:00:00,14.297697688565687,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 00:00:00] Normal: RES covers 14.30 kW + 7.46 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 00:30:00,14.16354304013181,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 00:30:00] Normal: RES covers 14.16 kW + 14.87 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 01:00:00,14.563974054801701,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 01:00:00] Normal: RES covers 14.56 kW + 14.23 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 01:30:00,15.329914440870217,0,0,5.761760888150349,0.15,100.0,50.0,2.8808804440751743,0.4321320666112761,"[2025-03-16 01:30:00] Normal: RES covers 9.57 kW + 0.00 kW charging ESS, Grid 5.76 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 02:00:00,14.82570620867125,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 02:00:00] Normal: RES covers 14.83 kW + 8.26 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 02:30:00,14.615766909445984,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 02:30:00] Normal: RES covers 14.62 kW + 12.34 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 03:00:00,14.742820324849369,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 03:00:00] Normal: RES covers 14.74 kW + 2.06 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 03:30:00,14.7979124023352,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 03:30:00] Normal: RES covers 14.80 kW + 1.21 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 04:00:00,14.44894960046483,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 04:00:00] Normal: RES covers 14.45 kW + 2.98 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 04:30:00,15.472294150198444,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 04:30:00] Normal: RES covers 15.47 kW + 0.49 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 05:00:00,14.618127420737942,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 05:00:00] Normal: RES covers 14.62 kW + 1.20 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 05:30:00,14.183558351453303,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 05:30:00] Normal: RES covers 14.18 kW + 13.26 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 06:00:00,17.46313201485487,0,0,4.647480659651263,0.15,100.0,50.0,2.3237403298256316,0.34856104947384475,"[2025-03-16 06:00:00] Normal: RES covers 12.82 kW + 0.00 kW charging ESS, Grid 4.65 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 06:30:00,16.80611588247796,0,0,0.0,0.15,100.0,50.0,0.0,0.0,"[2025-03-16 06:30:00] Normal: RES covers 16.81 kW + 7.32 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 07:00:00,16.426140596369983,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 07:00:00] Normal: RES covers 16.43 kW + 17.74 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 07:30:00,16.585751765107315,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 07:30:00] Normal: RES covers 16.59 kW + 17.83 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 08:00:00,22.338957921720315,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 08:00:00] Normal: RES covers 22.34 kW + 18.99 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 08:30:00,22.303404669322447,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 08:30:00] Normal: RES covers 22.30 kW + 25.78 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 09:00:00,23.57743842638697,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 09:00:00] Normal: RES covers 23.58 kW + 24.17 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 09:30:00,21.924509699973697,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 09:30:00] Normal: RES covers 21.92 kW + 33.53 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 10:00:00,23.677156526618166,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 10:00:00] Normal: RES covers 23.68 kW + 37.15 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 10:30:00,22.029268769194097,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 10:30:00] Normal: RES covers 22.03 kW + 42.19 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 11:00:00,23.404224956379238,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 11:00:00] Normal: RES covers 23.40 kW + 50.18 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 11:30:00,22.579582281171895,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 11:30:00] Normal: RES covers 22.58 kW + 38.25 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 12:00:00,21.874370917933565,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 12:00:00] Normal: RES covers 21.87 kW + 37.73 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 12:30:00,22.454221637906166,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 12:30:00] Normal: RES covers 22.45 kW + 44.73 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 13:00:00,21.916184153434266,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 13:00:00] Normal: RES covers 21.92 kW + 47.81 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 13:30:00,22.582495534587313,0,0,0.0,0.2,100.0,50.0,0.0,0.0,"[2025-03-16 13:30:00] Normal: RES covers 22.58 kW + 47.22 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 14:00:00,23.569333605706266,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-16 14:00:00] Normal: RES covers 23.57 kW + 45.86 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 14:30:00,22.469856138968137,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-16 14:30:00] Normal: RES covers 22.47 kW + 36.02 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 15:00:00,22.546045476564696,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-16 15:00:00] Normal: RES covers 22.55 kW + 28.57 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 15:30:00,22.47760023247306,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-16 15:30:00] Normal: RES covers 22.48 kW + 20.42 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 16:00:00,23.097394143736516,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-16 16:00:00] Normal: RES covers 23.10 kW + 21.58 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 16:30:00,21.99106891386409,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-16 16:30:00] Normal: RES covers 21.99 kW + 12.81 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 17:00:00,22.489632968025425,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-16 17:00:00] Normal: RES covers 22.49 kW + 8.68 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 17:30:00,21.500601887075085,0,0,0.0,0.3,100.0,50.0,0.0,0.0,"[2025-03-16 17:30:00] Normal: RES covers 21.50 kW + 0.88 kW charging ESS, Grid 0.00 kW + 0.00 kW charging ESS (SoC 100.0%)."
2025-03-16 18:00:00,22.60406677939551,0,0,5.879861965221018,0.3,100.0,50.0,2.939930982610509,0.8819792947831526,"[2025-03-16 18:00:00] Normal: RES covers 16.72 kW + 0.00 kW charging ESS, Grid 5.88 kW + 0.00 kW charging ESS (SoC 100.0%)."
