Timestamp,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
2024-07-30,136.425011,133.407344,135.149626,133.757068,132.219964,133.929722,149.469136,158.999801,177.214085,177.223129,173.222969,177.295880,172.613477,168.274899,170.383732,175.996257,172.648030,182.223014,186.664710,176.387980,178.318992,158.364571,157.980731,151.020188
2024-07-31,133.698920,132.820568,135.883636,132.526592,134.360488,138.224849,148.052864,158.176350,180.691594,171.308357,172.576843,171.562349,170.403187,167.669812,164.713987,172.693408,176.201389,177.267863,183.882413,172.317739,173.965531,159.593329,153.794664,148.692929
2024-08-01,135.511309,133.073515,130.493924,132.342365,130.364414,135.943186,144.985872,157.031327,165.334037,162.404539,161.827842,161.530278,164.935809,157.376173,156.269208,165.720142,162.959423,166.831309,169.491633,167.074702,165.256482,152.267623,147.065249,146.441192
2024-08-02,137.284552,134.585960,131.765950,130.770942,132.324471,136.277308,146.765803,149.967564,164.828683,163.897537,160.543404,167.383120,162.587653,164.901065,157.775492,162.834093,165.714622,168.072955,172.177100,167.909293,164.956904,155.984079,151.798901,143.691837
2024-08-03,134.122716,128.921389,128.193639,128.881194,128.422693,133.510656,148.259286,151.681752,181.093532,168.164868,169.656402,167.080669,169.803870,163.863625,164.457753,168.124542,172.608016,174.254217,178.664414,173.476259,174.360342,153.569211,151.196929,148.118835
2024-08-04,133.278058,134.135835,130.536091,134.225912,133.171674,135.191696,153.642057,165.604060,190.926532,184.911552,184.268761,184.238353,183.287535,181.920542,180.184433,183.610302,187.198768,188.031908,197.509796,187.866959,181.974859,165.663398,159.239302,155.290003
2024-08-05,135.227258,131.237049,133.561767,130.378317,130.610251,136.680821,143.053720,153.371844,159.473801,152.446479,152.005662,152.780491,155.266252,155.364401,151.787686,155.773209,154.965472,161.608925,162.858926,158.101663,158.976530,148.012015,148.415826,140.563289
2024-08-06,135.403316,130.867556,130.480567,131.412367,133.180249,132.579715,143.771040,143.356285,152.248312,143.386086,142.337643,143.997593,146.246592,141.987457,141.425424,145.165282,147.734154,148.544115,148.957914,146.065619,148.917399,140.528952,142.342227,137.516879
2024-08-07,136.685237,132.274744,130.994484,135.289907,134.639795,132.814369,147.873165,149.630730,156.417812,153.633003,149.369936,150.896803,153.599715,149.637614,149.602175,151.411833,154.480873,159.493351,157.591576,154.457342,154.280543,145.720257,142.938628,141.493506
2024-08-08,132.553503,132.574286,130.233404,131.103242,134.068439,131.211261,140.935119,152.218170,161.501768,150.404532,149.517393,155.379122,153.759305,149.708811,148.436677,152.135127,154.011356,158.054896,158.473597,152.756320,160.133973,149.504108,146.357109,141.057419
